1||3|||6|||9||11|12||||||||20|21|22|23||25||27||29||31||33||35||37||39||41||43||45||47||||51|
137|34247|'Государственное унитарное предприятие Топливно-энергетический комплекс Санкт-Петербурга'|'ЦТП'|'открытая'|'ООО ЖКС № 2 Приморского района'|'отопление'|'Гкал'|1|'центральная'|80|8|'95/70'|'да'|'нет'|'да'|'нет'|'элеватор'|'нет'||1965.25|1654.38|189.7|'Р'|191.84|'Р'|194.37|'Р'|190.01|'Р'|180.41|'Р'|49.31|'Р'|48.21|'Р'|50.13|'Р'|50.84|'Р'|181.04|'Р'|179.88|'Р'|180.53|'Р'|1686.27|0.26837|'95-70'|'зависимая'|1|'разгружен'
138|34248|'Государственное унитарное предприятие Топливно-энергетический комплекс Санкт-Петербурга'|'ЦТП'|'открытая'|'ООО ЖКС № 2 Приморского района'|'отопление'|'Гкал'|1|'центральная'|80|8|'95/70'|'да'|'нет'|'да'|'нет'|'элеватор'|'нет'||730.39|984.79|113.19|'Р'|113.19|'Р'|113.19|'Р'|113.19|'Р'|0|'Р'|32.82|'Р'|32.82|'Р'|34.86|'Р'|35.1|'Р'|100.54|'Р'|98.26|'Р'|97.71|'Р'|884.87|0.14871|'95-70'|'зависимая'|1|'разгружен'
139|34249|'Государственное унитарное предприятие Топливно-энергетический комплекс Санкт-Петербурга'|'ЦТП'|'открытая'|'ООО ЖКС № 2 Приморского района'|'отопление'|'Гкал'|0|'центральная'|50|8|'95/70'|'да'|'нет'|'нет'|'нет'|'элеватор'|'нет'||489.67|577.77|63.83|'Р'|63.83|'Р'|63.83|'Р'|63.83|'Р'|64|'Р'|18.58|'Р'|18.58|'Р'|20.49|'Р'|20.64|'Р'|59.96|'Р'|57.9|'Р'|57.85|'Р'|573.32|0.39161|'95-70'|'зависимая'|1|'разгружен'
140|34250|'Государственное унитарное предприятие Топливно-энергетический комплекс Санкт-Петербурга'|'ЦТП'|'открытая'|'ООО ЖКС № 2 Приморского района'|'отопление'|'Гкал'|0|'центральная'|50|8|'95/70'|'да'|'нет'|'нет'|'нет'|'элеватор'|'нет'||324.23|405.81|44.56|'Р'|43.99|'Р'|44.5|'Р'|44.22|'Р'|43.95|'Р'|15.88|'Р'|15.55|'Р'|11.19|'Р'|11.37|'Р'|39.17|'Р'|43.51|'Р'|45.25|'Р'|403.14|0.32854|'95-70'|'зависимая'|1|'разгружен'
141|34251|'Государственное унитарное предприятие Топливно-энергетический комплекс Санкт-Петербурга'|'ЦТП'|'открытая'|'ООО ЖКС № 2 Приморского района'|'отопление'|'Гкал'|1|'центральная'|80|8|'95/70'|'да'|'нет'|'да'|'нет'|'элеватор'|'нет'||911.8|1150.83|132.34|'Р'|132.3|'Р'|132.34|'Р'|132.32|'Р'|131.97|'Р'|41.34|'Р'|40.11|'Р'|39.27|'Р'|39.99|'Р'|133.34|'Р'|134.25|'Р'|134.3|'Р'|1223.87|0.35524|'95-70'|'зависимая'|1|'разгружен'
142|34252|'Государственное унитарное предприятие Топливно-энергетический комплекс Санкт-Петербурга'|'ЦТП'|'открытая'|'ООО ЖКС № 2 Приморского района'|'отопление'|'Гкал'|1|'центральная'|80|8|'95/70'|'да'|'нет'|'да'|'нет'|'элеватор'|'нет'||1908.62|1895.59|303.64|'Д'|280.12|'Д'|256.53|'Д'|192.99|'Д'|119.5|'Д'|66.97|'Д'|32.49|'Д'|43.62|'Д'|53.55|'Д'|149.06|'Д'|176.88|'Д'|224.17|'Д'|1899.52|0.29975|'95-70'|'зависимая'|1|'разгружен'
143|34253|'Государственное унитарное предприятие Топливно-энергетический комплекс Санкт-Петербурга'|'ЦТП'|'открытая'|'ООО ЖКС № 2 Приморского района'|'отопление'|'Гкал'|0|'центральная'|80|8|'95/70'|'нет'|'нет'|'нет'|'нет'|'элеватор'|'нет'||368.32|372.17|67.78|'Д'|60.48|'Д'|59.96|'Д'|43.75|'Д'|14.62|'Д'|0.23|'Д'|0|'Д'|0|'Д'|0|'Д'|29.48|'Д'|15.37|'Д'|20.09|'Д'|311.76|0.09588|'95-70'|'зависимая'|'АУУ'|'не разгружен'
144|34254|'Государственное унитарное предприятие Топливно-энергетический комплекс Санкт-Петербурга'|'ЦТП'|'открытая'|'ООО ЖКС № 2 Приморского района'|'отопление'|'Гкал'|1|'центральная'|50|8|'95/70'|'да'|'нет'|'да'|'нет'|'элеватор'|'нет'||1065.41|1308.54|171.08|'Р'|170.07|'Р'|169.4|'Р'|167.98|'Р'|165.26|'Р'|44.86|'Р'|43.55|'Р'|43.9|'Р'|44.4|'Р'|144.73|'Р'|144.66|'Р'|146.17|'Р'|1456.06|0.38943|'95-70'|'зависимая'|1|'разгружен'
145|34255|'Государственное унитарное предприятие Топливно-энергетический комплекс Санкт-Петербурга'|'ЦТП'|'открытая'|'ООО ЖКС № 2 Приморского района'|'отопление'|'Гкал'|1|'центральная'|50|8|'95/70'|'да'|'нет'|'да'|'нет'|'элеватор'|'нет'||844.88|807.59|126.25|'Д'|116.31|'Д'|107.78|'Д'|85.52|'Д'|53.47|'Д'|32.23|'Д'|16.23|'Д'|39.56|'Д'|26.75|'Д'|53.92|'Д'|74.96|'Д'|97.2|'Д'|830.18|0.37182|'95-70'|'зависимая'|1|'разгружен'
146|34256|'Государственное унитарное предприятие Топливно-энергетический комплекс Санкт-Петербурга'|'ЦТП'|'открытая'|'ООО ЖКС № 2 Приморского района'|'отопление'|'Гкал'|0|'центральная'|80|8|'95/70'|'нет'|'нет'|'нет'|'нет'|'элеватор'|'нет'||736.19|743.55|135.47|'Д'|120.9|'Д'|119.84|'Д'|87.43|'Д'|29.2|'Д'|0.44|'Д'|0|'Д'|0|'Д'|0|'Д'|58.89|'Д'|30.7|'Д'|40.15|'Д'|623.02|0.15458|'95-70'|'зависимая'|'АУУ'|'не разгружен'
147|34257|'Государственное унитарное предприятие Топливно-энергетический комплекс Санкт-Петербурга'|'ЦТП'|'открытая'|'ООО ЖКС № 2 Приморского района'|'отопление'|'Гкал'|1|'центральная'|50|8|'95/70'|'да'|'нет'|'да'|'нет'|'элеватор'|'нет'||949.68|1202.51|148.63|'Р'|145.49|'Р'||'Р'|148.45|'Р'|145.07|'Р'|43.71|'Р'|43.5|'Р'|33.67|'Р'|34.11|'Р'|130.87|'Р'|140.49|'Р'|139.67|'Р'|1153.66|0.20359|'95-70'|'зависимая'|1|'разгружен'
148|34258|'Государственное унитарное предприятие Топливно-энергетический комплекс Санкт-Петербурга'|'ЦТП'|'открытая'|'ООО ЖКС № 2 Приморского района'|'отопление'|'Гкал'|1|'центральная'|80|8|'95/70'|'да'|'нет'|'да'|'нет'|'элеватор'|'нет'||1226.72|1276.54|212.08|'Д'|186.25|'Д'|176.7|'Д'|142.61|'Д'|88.34|'Д'|51.54|'Д'|24.91|'Д'|29.69|'Д'|41.88|'Д'|104.12|'Д'|121.87|'Д'|146.83|'Д'|1326.82|0.34589|'95-70'|'зависимая'|1|'разгружен'
149|34259|'Государственное унитарное предприятие Топливно-энергетический комплекс Санкт-Петербурга'|'ЦТП'|'открытая'|'ООО ЖКС № 2 Приморского района'|'отопление'|'Гкал'|1|'центральная'|50|8|'95/70'|'да'|'нет'|'да'|'нет'|'элеватор'|'нет'||1001.32|961.26|129.01|'Д'|116.5|'Д'|111.46|'Д'|107.9|'Д'|56.21|'Д'|32.25|'Д'|25.48|'Д'|24.07|'Д'|31.88|'Д'|84.03|'Д'|60.67|'Д'|106.51|'Д'|885.97|0.43299|'95-70'|'зависимая'|1|'разгружен'
150|34260|'Государственное унитарное предприятие Топливно-энергетический комплекс Санкт-Петербурга'|'ЦТП'|'открытая'|'ООО ЖКС № 2 Приморского района'|'отопление'|'Гкал'|1|'центральная'|50|8|'95/70'|'да'|'нет'|'да'|'нет'|'элеватор'|'нет'||811.84|854.76|126.16|'Д'|84.09|'Д'|114.38|'Д'|84.48|'Д'|56.02|'Д'|47.73|'Д'|19.94|'Д'|23.35|'Д'|26.33|'Д'|61.76|'Д'|73.3|'Д'|95.8|'Д'|813.34|1.04038|'95-70'|'зависимая'|1|'разгружен'
151|34261|'Государственное унитарное предприятие Топливно-энергетический комплекс Санкт-Петербурга'|'ЦТП'|'открытая'|'ООО ЖКС № 2 Приморского района'|'отопление'|'Гкал'|1|'центральная'|100|8|'95/70'|'да'|'нет'|'да'|'нет'|'элеватор'|'нет'||1912.26|2002.28|334.57|'Д'|306.18|'Д'|282.69|'Д'|221.26|'Д'|137.37|'Д'|83.14|'Д'|41.56|'Д'|51.37|'Д'|63.2|'Д'|163.42|'Д'|191.29|'Д'|237.16|'Д'|2113.21|0.22313|'95-70'|'зависимая'|1|'разгружен'
152|34262|'Государственное унитарное предприятие Топливно-энергетический комплекс Санкт-Петербурга'|'ЦТП'|'открытая'|'ООО ЖКС № 2 Приморского района'|'отопление'|'Гкал'|0|'центральная'|50|8|'95/70'|'да'|'нет'|'нет'|'нет'|'элеватор'|'нет'||908.46|1245.19|144.5|'Р'|144.49|'Р'|144.5|'Р'|144.5|'Р'|144.41|'Р'|42.98|'Р'|42.51|'Р'|42.51|'Р'|42.51|'Р'|136.7|'Р'|136.7|'Р'|136.71|'Р'|1303.02|0.21284|'95-70'|'зависимая'|1|'разгружен'
153|34263|'Государственное унитарное предприятие Топливно-энергетический комплекс Санкт-Петербурга'|'ЦТП'|'открытая'|'ООО ЖКС № 2 Приморского района'|'отопление'|'Гкал'|2|'центральная'||8|'95/70'|'да'|'нет'|'да'|'нет'|'элеватор'|'нет'||1595.75|1519.33|249.51|'Д'|230.64|'Д'|213.87|'Д'|176.3|'Д'|87.24|'Д'|52.62|'Д'|55.61|'Д'|55.24|'Д'|55.66|'Д'|47.86|'Д'|145.29|'Д'|267.66|'Д'|1637.5|0.26015|'95-70'|'зависимая'|2|'разгружен'
154|34264|'Государственное унитарное предприятие Топливно-энергетический комплекс Санкт-Петербурга'|'ЦТП'|'открытая'|'ООО ЖКС № 2 Приморского района'|'отопление'|'Гкал'|1|'центральная'|80|8|'95/70'|'да'|'нет'|'да'|'нет'|'элеватор'|'нет'||970.89|879.16|88.92|'Р'|86.4|'Р'|88.36|'Р'|88.92|'Р'|88.92|'Р'|29.54|'Р'|28.95|'Р'|27.63|'Р'|27.89|'Р'|90.58|'Р'|91.95|'Р'|91.95|'Р'|830.01|0.43883|'95-70'|'зависимая'|1|'разгружен'
155|34265|'Государственное унитарное предприятие Топливно-энергетический комплекс Санкт-Петербурга'|'ЦТП'|'открытая'|'ООО ЖКС № 2 Приморского района'|'отопление'|'Гкал'|1|'центральная'|80|8|'95/70'|'да'|'нет'|'да'|'нет'|'элеватор'|'нет'||1145.76|1376.55|156.21|'Р'|151.81|'Р'|155.24|'Р'|156.21|'Р'|156.21|'Р'|49.32|'Р'|48.61|'Р'|47.54|'Р'|48|'Р'|148.13|'Р'|149.27|'Р'|149.27|'Р'|1415.82|0.94929|'95-70'|'зависимая'|1|'разгружен'
156|34266|'Государственное унитарное предприятие Топливно-энергетический комплекс Санкт-Петербурга'|'ЦТП'|'открытая'|'ООО ЖКС № 2 Приморского района'|'отопление'|'Гкал'|1|'центральная'|50|8|'95/70'|'да'|'нет'|'да'|'нет'|'элеватор'|'нет'||808.13|1153.92|127.71|'Р'|127.71|'Р'|127.71|'Р'|127.71|'Р'|127.71|'Р'|42.01|'Р'|41.7|'Р'|30.51|'Р'|30.73|'Р'|109.98|'Р'|120.95|'Р'|119.88|'Р'|1134.31|0.29675|'95-70'|'зависимая'|1|'разгружен'
157|34267|'Государственное унитарное предприятие Топливно-энергетический комплекс Санкт-Петербурга'|'ЦТП'|'открытая'|'ООО ЖКС № 2 Приморского района'|'отопление'|'Гкал'|1|'центральная'|50|8|'95/70'|'да'|'нет'|'да'|'нет'|'элеватор'|'нет'||536.85|456.57|59.97|'Р'|58.08|'Р'|59.56|'Р'|59.97|'Р'|59.97|'Р'|14.71|'Р'|14.28|'Р'|14.3|'Р'|14.44|'Р'|51.43|'Р'|51.89|'Р'|51.89|'Р'|510.49|0.12735|'95-70'|'зависимая'|1|'разгружен'
158|34268|'Государственное унитарное предприятие Топливно-энергетический комплекс Санкт-Петербурга'|'ЦТП'|'открытая'|'ООО ЖКС № 2 Приморского района'|'отопление'|'Гкал'|1|'центральная'|80|8|'95/70'|'да'|'нет'|'да'|'нет'|'элеватор'|'нет'||684.5|822.68|93.93|'Р'|91.35|'Р'|93.37|'Р'|93.93|'Р'|93.93|'Р'|31.86|'Р'|31.18|'Р'|31.74|'Р'|31.74|'Р'|89.56|'Р'|89.33|'Р'|89.33|'Р'|861.25|0.80232|'95-70'|'зависимая'|1|'разгружен'
159|34269|'Государственное унитарное предприятие Топливно-энергетический комплекс Санкт-Петербурга'|'ЦТП'|'открытая'|'ООО ЖКС № 2 Приморского района'|'отопление'|'Гкал'|1|'центральная'|80|8|'95/70'|'да'|'нет'|'да'|'нет'|'элеватор'|'нет'||864|1075.05|124.77|'Р'|121.32|'Р'|124.01|'Р'|124.77|'Р'|124.77|'Р'|41.44|'Р'|40.78|'Р'|39.03|'Р'|39.39|'Р'|117.48|'Р'|119.31|'Р'|119.31|'Р'|1136.38|0.12301|'95-70'|'зависимая'|1|'разгружен'
160|34270|'Государственное унитарное предприятие Топливно-энергетический комплекс Санкт-Петербурга'|'ЦТП'|'открытая'|'ООО ЖКС № 2 Приморского района'|'отопление'|'Гкал'|1|'центральная'|80|8|'95/70'|'да'|'нет'|'да'|'нет'|'элеватор'|'нет'||670.52|541.99|82.41|'Р'|80.1|'Р'|81.9|'Р'|82.41|'Р'|91.29|'Р'|28.72|'Р'|28.07|'Р'|29.05|'Р'|29.05|'Р'|86.34|'Р'|85.66|'Р'|85.66|'Р'|790.66|0.1337|'95-70'|'зависимая'|1|'разгружен'
161|34271|'Государственное унитарное предприятие Топливно-энергетический комплекс Санкт-Петербурга'|'ЦТП'|'открытая'|'ООО ЖКС № 2 Приморского района'|'отопление'|'Гкал'|1|'центральная'|80|8|'95/70'|'да'|'нет'|'да'|'нет'|'элеватор'|'нет'||902.75|1167.32|129.73|'Р'|126.19|'Р'|128.97|'Р'|129.73|'Р'|129.73|'Р'|45|'Р'|44.25|'Р'|45.86|'Р'|45.86|'Р'|124.14|'Р'|123|'Р'|123|'Р'|1195.46|0.27538|'95-70'|'зависимая'|1|'разгружен'
162|34272|'Государственное унитарное предприятие Топливно-энергетический комплекс Санкт-Петербурга'|'ЦТП'|'открытая'|'ООО ЖКС № 2 Приморского района'|'отопление'|'Гкал'|1|'центральная'|80|8|'95/70'|'да'|'нет'|'да'|'нет'|'элеватор'|'нет'||698.54|849.99|92.25|'Р'|89.71|'Р'|91.7|'Р'|92.25|'Р'|92.25|'Р'|30.91|'Р'|30.31|'Р'|30.86|'Р'|30.86|'Р'|87.18|'Р'|86.96|'Р'|86.96|'Р'|842.2|0.26837|'95-70'|'зависимая'|1|'разгружен'
163|34273|'Государственное унитарное предприятие Топливно-энергетический комплекс Санкт-Петербурга'|'ЦТП'|'открытая'|'ООО ЖКС № 2 Приморского района'|'отопление'|'Гкал'|1|'центральная'|80|8|'95/70'|'да'|'нет'|'да'|'нет'|'элеватор'|'нет'||959.6|1130.81|126.54|'Р'|123.07|'Р'|125.79|'Р'|126.54|'Р'|126.54|'Р'|43.65|'Р'|42.82|'Р'|40.09|'Р'|40.09|'Р'|117.7|'Р'|120.9|'Р'|120.9|'Р'|1154.63|0.50074|'95-70'|'зависимая'|1|'разгружен'
164|34274|'Государственное унитарное предприятие Топливно-энергетический комплекс Санкт-Петербурга'|'ЦТП'|'открытая'|'ООО ЖКС № 2 Приморского района'|'отопление'|'Гкал'|1|'центральная'|50|8|'95/70'|'да'|'нет'|'да'|'нет'|'элеватор'|'нет'||828.49|948.81|114.95|'Р'|111.51|'Р'|114.15|'Р'|114.92|'Р'|114.65|'Р'|30.74|'Р'|30.17|'Р'|30.21|'Р'|30.51|'Р'|109.43|'Р'|109.43|'Р'|109.46|'Р'|1020.13|0.29332|'95-70'|'зависимая'|1|'разгружен'
165|34275|'Государственное унитарное предприятие Топливно-энергетический комплекс Санкт-Петербурга'|'ЦТП'|'открытая'|'ООО ЖКС № 2 Приморского района'|'отопление'|'Гкал'|1|'центральная'|80|8|'95/70'|'да'|'нет'|'да'|'нет'|'элеватор'|'нет'||1103.33|1182.35|149.72|'Р'|145.54|'Р'|148.8|'Р'|149.72|'Р'|149.72|'Р'|48.17|'Р'|47.48|'Р'|45.96|'Р'|46.4|'Р'|140.93|'Р'|142.53|'Р'|142.53|'Р'|1357.5|0.27206|'95-70'|'зависимая'|1|'разгружен'
166|34276|'Государственное унитарное предприятие Топливно-энергетический комплекс Санкт-Петербурга'|'ЦТП'|'открытая'|'ООО ЖКС № 2 Приморского района'|'отопление'|'Гкал'|1|'центральная'|50|8|'95/70'|'да'|'нет'|'да'|'нет'|'элеватор'|'нет'||889.71|1080.87|124.3|'Р'|120.83|'Р'|123.53|'Р'|124.3|'Р'|124.3|'Р'|39.72|'Р'|39.04|'Р'|37.63|'Р'|37.63|'Р'|115.72|'Р'|117.55|'Р'|117.55|'Р'|1122.1|0.21874|'95-70'|'зависимая'|1|'разгружен'
167|34277|'Государственное унитарное предприятие Топливно-энергетический комплекс Санкт-Петербурга'|'ЦТП'|'открытая'|'ООО ЖКС № 2 Приморского района'|'отопление'|'Гкал'|1|'центральная'|80|8|'95/70'|'да'|'нет'|'да'|'нет'|'элеватор'|'нет'||647.79|744.91|88.07|'Р'|85.51|'Р'|87.49|'Р'|88.06|'Р'|88.01|'Р'|24.91|'Р'|24.29|'Р'|23.65|'Р'|23.87|'Р'|81.2|'Р'|81.88|'Р'|81.88|'Р'|778.82|0.20356|'95-70'|'зависимая'|1|'разгружен'
168|34278|'Государственное унитарное предприятие Топливно-энергетический комплекс Санкт-Петербурга'|'ЦТП'|'открытая'|'ООО ЖКС № 2 Приморского района'|'отопление'|'Гкал'|1|'центральная'|80|8|'95/70'|'да'|'нет'|'да'|'нет'|'элеватор'|'нет'||631.02|734.87|87.23|'Р'|84.46|'Р'|86.67|'Р'|87.13|'Р'|85.11|'Р'|25.3|'Р'|24.75|'Р'|24.1|'Р'|24.48|'Р'|81.76|'Р'|82.45|'Р'|82.73|'Р'|776.17|0.24166|'95-70'|'зависимая'|1|'разгружен'
169|34279|'Государственное унитарное предприятие Топливно-энергетический комплекс Санкт-Петербурга'|'ЦТП'|'открытая'|'ООО ЖКС № 2 Приморского района'|'отопление'|'Гкал'|1|'центральная'|50|8|'95/70'|'да'|'нет'|'да'|'нет'|'элеватор'|'нет'||859.56|1156.35|126.03|'Р'|123.87|'Р'|122.78|'Р'|126.03|'Р'|126.03|'Р'|43.8|'Р'|43.56|'Р'|27.82|'Р'|28.01|'Р'|107.11|'Р'|122.66|'Р'|121.59|'Р'|1119.29|0.2759|'95-70'|'зависимая'|1|'разгружен'
170|34280|'Государственное унитарное предприятие Топливно-энергетический комплекс Санкт-Петербурга'|'ЦТП'|'открытая'|'ООО ЖКС № 2 Приморского района'|'отопление'|'Гкал'|1|'центральная'|50|8|'95/70'|'да'|'нет'|'да'|'нет'|'элеватор'|'нет'||1069.57|1250.53|157.44|'Р'|153.46|'Р'|152.3|'Р'|154.39|'Р'|152.3|'Р'|40.02|'Р'|39.79|'Р'|35.42|'Р'|35.68|'Р'|143.75|'Р'|144.37|'Р'|142.98|'Р'|1351.9|0.3588|'95-70'|'зависимая'|1|'разгружен'
171|34281|'Государственное унитарное предприятие Топливно-энергетический комплекс Санкт-Петербурга'|'ЦТП'|'открытая'|'ООО ЖКС № 2 Приморского района'|'отопление'|'Гкал'|1|'центральная'|50|8|'95/70'|'да'|'нет'|'да'|'нет'|'элеватор'|'нет'||827.35|1139.9|128.51|'Р'|126.27|'Р'|125.14|'Р'|128.51|'Р'|128.51|'Р'|42.4|'Р'|42.16|'Р'|30.51|'Р'|30.73|'Р'|110.34|'Р'|121.77|'Р'|120.7|'Р'|1135.55|0.22609|'95-70'|'зависимая'|1|'разгружен'
172|34282|'Государственное унитарное предприятие Топливно-энергетический комплекс Санкт-Петербурга'|'ЦТП'|'открытая'|'ООО ЖКС № 2 Приморского района'|'отопление'|'Гкал'|1|'центральная'|80|8|'95/70'|'нет'|'нет'|'да'|'нет'|'элеватор'|'нет'||506.27|550.55|114.77|'Д'|104.79|'Д'|96.77|'Д'|79.23|'Д'|21.23|'Д'|0.22|'Д'|0|'Д'|0|'Д'|0|'Д'|26.59|'Д'|55.14|'Д'|72.39|'Д'|571.13|0.24919|'95-70'|'зависимая'|1|'не разгружен'
173|34283|'Государственное унитарное предприятие Топливно-энергетический комплекс Санкт-Петербурга'|'ЦТП'|'открытая'|'ООО ЖКС № 2 Приморского района'|'отопление'|'Гкал'|1|'центральная'|80|8|'95/70'|'нет'|'нет'|'да'|'нет'|'элеватор'|'нет'||727.89|781.19|139.6|'Д'|124.1|'Д'|119.9|'Д'|106.09|'Д'|28.47|'Д'|0.35|'Д'|0|'Д'|0|'Д'|0|'Д'|54.91|'Д'|76.54|'Д'|102.27|'Д'|752.23|0.41597|'95-70'|'зависимая'|1|'разгружен'
174|34284|'Государственное унитарное предприятие Топливно-энергетический комплекс Санкт-Петербурга'|'ЦТП'|'открытая'|'ООО ЖКС № 2 Приморского района'|'отопление'|'Гкал'|1|'центральная'|50|8|'95/70'|'да'|'нет'|'да'|'нет'|'элеватор'|'нет'||835.62|1126.97|130.94|'Р'|130.94|'Р'|130.94|'Р'|130.94|'Р'|130.94|'Р'|44.57|'Р'|44.33|'Р'|29.73|'Р'|29.93|'Р'|107.49|'Р'|121.03|'Р'|120.85|'Р'|1152.63|0.29031|'95-70'|'зависимая'|1|'разгружен'
175|34285|'Государственное унитарное предприятие Топливно-энергетический комплекс Санкт-Петербурга'|'ЦТП'|'открытая'|'ООО ЖКС № 2 Приморского района'|'отопление'|'Гкал'|1|'центральная'|80|8|'95/70'|'да'|'нет'|'да'|'нет'|'элеватор'|'нет'||722.19|784.58|136.61|'Д'|129.99|'Д'|117.1|'Д'|97.1|'Д'|46.35|'Д'|18.43|'Д'|9.76|'Д'|12.59|'Д'|14.72|'Д'|86.3|'Д'|66.47|'Д'|104.97|'Д'|840.39|0.42426|'95-70'|'зависимая'|1|'разгружен'
176|34286|'Государственное унитарное предприятие Топливно-энергетический комплекс Санкт-Петербурга'|'ЦТП'|'открытая'|'ООО ЖКС № 2 Приморского района'|'отопление'|'Гкал'|1|'центральная'|50|8|'95/70'|'да'|'нет'|'да'|'нет'|'элеватор'|'нет'||927.2|1254.17|177.95|'Р'|177.91|'Р'|177.95|'Р'|177.94|'Р'|177.65|'Р'|42.82|'Р'|42.58|'Р'|31.61|'Р'|31.85|'Р'|130.59|'Р'|140.23|'Р'|140.04|'Р'|1449.12|0.19845|'95-70'|'зависимая'|1|'разгружен'
177|34287|'Государственное унитарное предприятие Топливно-энергетический комплекс Санкт-Петербурга'|'ЦТП'|'открытая'|'ООО ЖКС № 2 Приморского района'|'отопление'|'Гкал'|1|'центральная'|50|8|'95/70'|'да'|'нет'|'да'|'нет'|'элеватор'|'нет'||815.14|1102.99|128.66|'Р'|128.66|'Р'|128.66|'Р'|128.66|'Р'|128.66|'Р'|42.85|'Р'|42.61|'Р'|34.37|'Р'|34.61|'Р'|113.91|'Р'|121.91|'Р'|120.85|'Р'|1154.41|0.14087|'95-70'|'зависимая'|1|'разгружен'
178|34288|'Государственное унитарное предприятие Топливно-энергетический комплекс Санкт-Петербурга'|'ЦТП'|'открытая'|'ООО ЖКС № 2 Приморского района'|'отопление'|'Гкал'|1|'центральная'|50|8|'95/70'|'да'|'нет'|'да'|'нет'|'элеватор'|'нет'||807.15|2661.38|908.79|'Р'|886.49|'Р'|875.21|'Р'|908.79|'Р'|128.33|'Р'|42.4|'Р'|42.16|'Р'|31.19|'Р'|31.41|'Р'|110.84|'Р'|121.59|'Р'|120.52|'Р'|4207.72|0.18661|'95-70'|'зависимая'|1|'разгружен'
179|34289|'Государственное унитарное предприятие Топливно-энергетический комплекс Санкт-Петербурга'|'ЦТП'|'открытая'|'ООО ЖКС № 2 Приморского района'|'отопление'|'Гкал'|0|'центральная'|80|8|'95/70'|'нет'|'нет'|'нет'|'нет'|'элеватор'|'нет'||701.14|761.35|159.27|'Д'|145.05|'Д'|133.8|'Д'|106.22|'Д'|27.92|'Д'|0.32|'Д'|0|'Д'|0|'Д'|0|'Д'|36.24|'Д'|75.23|'Д'|100.05|'Д'|784.1|0.33888|'95-70'|'зависимая'|'АУУ'|'не разгружен'
180|34290|'Государственное унитарное предприятие Топливно-энергетический комплекс Санкт-Петербурга'|'ЦТП'|'открытая'|'ООО ЖКС № 2 Приморского района'|'отопление'|'Гкал'|3|'центральная'|50|8|'95/70'|'да'|'нет'|'да'|'нет'|'элеватор'|'нет'||2652.3|2944.67|442.5|'Д'|390.19|'Д'|364.8|'Д'|313.46|'Д'|146.61|'Д'|62.16|'Д'|104.17|'Д'|58.51|'Д'|57|'Д'|228.35|'Д'|272.59|'Д'|341.81|'Д'|2782.15|0.26099|'95-70'|'зависимая'|3|'разгружен'
181|34291|'Государственное унитарное предприятие Топливно-энергетический комплекс Санкт-Петербурга'|'ЦТП'|'открытая'|'ООО ЖКС № 2 Приморского района'|'отопление'|'Гкал'|1|'центральная'|50|8|'95/70'|'да'|'нет'|'да'|'нет'|'элеватор'|'нет'||961.58|1101.83|125.36|'Р'|123.16|'Р'|122.05|'Р'|125.36|'Р'|125.36|'Р'|40.3|'Р'|39.95|'Р'|30.38|'Р'|30.58|'Р'|108.78|'Р'|118.15|'Р'|117.1|'Р'|1106.53|0.25912|'95-70'|'зависимая'|1|'разгружен'
182|34292|'Государственное унитарное предприятие Топливно-энергетический комплекс Санкт-Петербурга'|'ЦТП'|'открытая'|'ООО ЖКС № 2 Приморского района'|'отопление'|'Гкал'|2|'центральная'|50|8|'95/70'|'да'|'нет'|'да'|'нет'|'элеватор'|'нет'||1545.73|1780.09|212.35|'Р'|208.43|'Р'|206.45|'Р'|212.33|'Р'|212.19|'Р'|60.97|'Р'|59.55|'Р'|43.95|'Р'|44.24|'Р'|182.75|'Р'|198.06|'Р'|196.19|'Р'|1837.46|0.28931|'95-70'|'зависимая'|2|'разгружен'
183|34293|'Государственное унитарное предприятие Топливно-энергетический комплекс Санкт-Петербурга'|'ЦТП'|'открытая'|'ООО ЖКС № 2 Приморского района'|'отопление'|'Гкал'|2|'центральная'|50|8|'95/70'|'да'|'нет'|'да'|'нет'|'элеватор'|'нет'||1494.47|1546.69|244.76|'Д'|217.28|'Д'|208.35|'Д'|171.33|'Д'|77.21|'Д'|43.72|'Д'|63.51|'Д'|3.27|'Д'|20.84|'Д'|119.19|'Д'|151.1|'Д'|225.87|'Д'|1546.43|0.40715|'95-70'|'зависимая'|2|'разгружен'
184|34294|'Государственное унитарное предприятие Топливно-энергетический комплекс Санкт-Петербурга'|'ЦТП'|'открытая'|'ООО ЖКС № 2 Приморского района'|'отопление'|'Гкал'|0|'центральная'|80|8|'95/70'|'нет'|'нет'|'нет'|'нет'|'элеватор'|'нет'||353.47|384.42|80.13|'Д'|73.17|'Д'|67.56|'Д'|55.31|'Д'|14.83|'Д'|0.15|'Д'|0|'Д'|0|'Д'|0|'Д'|18.57|'Д'|38.5|'Д'|50.54|'Д'|398.76|0.12617|'95-70'|'зависимая'|'АУУ'|'не разгружен'
